"","analysis","run_number","volume","area","name","pH","category","dilution","col_NOx","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",40529,73,6,15.8593038379078,"WAB71",11.22,"Oman",1,3,0.889040389294489,0.131184003438299,9.83501612316414,0.0866718122864943,4.40000169741413,1.02830818043475,"NO3+NO2"
"2",40530,74,0.12,53.3682036749187,"WAB104",8.79,"Oman",1,169,149.585659799543,6.63352802603808,1.09293551304609,0.0248957751825272,23.2343243822688,0.302199285999474,"NO3+NO2"
"3",40531,75,2.86,26.7447510533459,"NSHQ14",11.39,"Oman",1,7,3.14529329362317,0.275770777438565,5.19918603801247,0.0443674074108879,12.048277147151,0.528126695839041,"NO3+NO2"
"4",40532,76,0.14,60.9064146088894,"WAB55",9.62,"Oman",1,146,146.326714430798,5.70685938258048,7.72715587264461,0.0262894768082559,20.5831148789435,0.300941956541045,"NO3+NO2"
"5",40533,77,0.24,30.2475658450776,"BA1A55_66",8.71,"Oman",2,82,84.7808579398085,6.57826949055876,5.14061446789586,0.0252432821876055,25.0228498933437,0.300662921207723,"NO3+NO2"
"6",40535,79,0.07782101167,72.8311672462532,"WAB103",8.51,"Oman",1,257,314.781369398067,10.3361455236549,9.34045575499158,0.0271793273643844,17.361202599364,0.30163372604969,"NO3+NO2"
"7",40541,85,2.5,67.6658286773868,"BA1A100",10.69,"Oman",1,8,9.10370169346058,0.320764977374008,21.6949733878675,0.0481955656575333,30.5435795970728,0.480997997503374,"NO3+NO2"
"8",40542,86,0.13,55.143693730447,"WAB105",8.66,"Oman",1,156,142.672779943274,6.12831668047383,2.1394050392575,0.0249024616699463,21.885452460518,0.301548465151431,"NO3+NO2"
"9",40551,95,0.12,37.1457093868608,"WAB188",8.16,"Oman",1,162,104.115654354823,6.59159978537335,3.26324354976481,0.0250359500868291,21.9451930425959,0.301799240994488,"NO3+NO2"
"10",40590,134,2.86,31.1299107670037,"NSHQ14",11.39,"Oman",1,7,3.66100620533894,0.276076517192754,5.10280700776702,0.0443521452794501,14.7056294911511,0.528444822129674,"NO3+NO2"
