"","analysis","run_number","volume","area","name","pH","category","dilution","noxbox_conc","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",11386,21,0.18,81.0521848503478,"OM17_188a_KRR_nitrate",5.8,"OM17",1,109.3,129.661892157532,5.1878229652082,3.85827334332272,0.126240755334989,21.8001537061217,0.562127939019543,"NO3+NO2"
"2",11387,22,0.16,81.9683972688346,"OM17_55a_KRR_nitrate",9.2,"OM17",1,126.8,147.518536297923,5.8405188991673,8.66139700912594,0.138387449014834,20.9488416595924,0.563041900728649,"NO3+NO2"
"3",11388,23,0.17,80.3628496935709,"OM17_105a_KRR_nitrate",8.3,"OM17",1,120.4,136.121441973551,5.49002959096685,2.52761301090349,0.125377561378148,22.4538326432379,0.563085624630004,"NO3+NO2"
"4",11389,24,0.2,82.5852757454071,"OM17_104a_KRR_nitrate",8.5,"OM17",1,102.3,118.90298606441,4.67470708632997,2.19779887643117,0.125145657758164,22.5806451138525,0.562078253774228,"NO3+NO2"
"5",11390,25,1.32,69.5941631361741,"OM17_56a_KRR_nitrate",10.9,"OM17",1,15.1,15.1816515585563,0.701494689176329,9.28687729660866,0.14006085664535,22.5419951436159,0.568188907729407,"NO3+NO2"
"6",11391,26,5,4.6452692951765,"OM17_BestCampsite_KRR_nitrate",NA,"OM17",1,0.26,0.267522938094941,0.180745246458314,10.1693262358117,0.143787489709909,16.2214686280097,0.568098101749374,"NO3+NO2"
"7",11392,27,2.04,71.5387736899718,"OM17_71a_KRR_nitrate",10.6,"OM17",1,9.8,10.0979091176562,0.454521173781074,13.0336347194795,0.156602455119718,0.940602522711,0.565677692635429,"NO3+NO2"
"8",11402,37,0.77,68.9711341896367,"OM17_14a_KRR_nitrate",10.3,"OM17",1,26.1,25.7926981971582,1.20205115970998,9.73143769193607,0.141526738583826,8.32958749550008,0.561994668690466,"NO3+NO2"
"9",11403,38,7.9,18.1754099352065,"OM17_14b_KRR_nitrate",11,"OM17",1,0.86,0.662486842776175,0.114578129393757,7.12011894741093,0.133713993632739,19.9737697531858,0.569470095326947,"NO3+NO2"
"10",11404,39,5.4,7.42639181204282,"OM17_14c_KRR_nitrate",11.28,"OM17",1,0.38,0.396008249101316,0.167385745627419,12.3936824732278,0.153603860733827,18.0655744427097,0.568717758924691,"NO3+NO2"
"11",11405,40,1.17,60.381616462463,"OM17_4a_KRR_nitrate",10,"OM17",1,17.1,14.8606911166769,0.786750906311903,0.556937999688079,0.128216431348889,6.45935584852744,0.563909561427022,"NO3+NO2"
"12",11406,41,0.1,86.1281213988571,"OM17_rainwater_KRR_nitrate",5.6,"OM17",1,197.4,248.007667856256,9.37636062706545,-2.38400544116251,0.133776914097592,54.3005257672074,0.629415032294421,"NO3+NO2"
